IATA,City,Timezone
MAY,Clarence Bain,America/Nassau
ASD,Andros Town,America/Nassau
MHH,Marsh Harbor,America/Nassau
SAQ,San Andros,America/Nassau
AXP,Spring Point,America/Nassau
TCB,Treasure Cay,America/Nassau
CCZ,Chub Cay,America/Nassau
GHC,Bullocks Harbour,America/Nassau
BIM,Alice Town,America/Nassau
GGT,Great Exuma,America/Nassau
ELH,North Eleuthera,America/Nassau
GHB,Governor's Harbor,America/Nassau
NMC,Norman's Cay,America/Nassau
RSD,Rock Sound,America/Nassau
TYM,Staniel Cay,America/Nassau
FPO,Freeport,America/Nassau
IGA,Matthew Town,America/Nassau
LGI,Dead Man's Cay,America/Nassau
SML,Stella Maris,America/Nassau
MYG,Mayaguana,America/Nassau
NAS,Nassau,America/Nassau
DCT,Duncan Town,America/Nassau
RCY,Port Nelson,America/Nassau
ZSA,Cockburn Town,America/Nassau
BZE,Belize City,America/Belize
AIT,Aitutaki,Pacific/Rarotonga
RAR,Avarua,Pacific/Rarotonga
NAN,Nandi,Pacific/Fiji
SUV,Nausori,Pacific/Fiji
TBU,Tongatapu,Pacific/Tongatapu
VAV,Vava'u,Pacific/Tongatapu
TRW,Tarawa,Pacific/Tarawa
TBF,Tabiteuea North,Pacific/Tarawa
WLS,Wallis,Pacific/Wallis
APW,Faleolo,Pacific/Apia
PPG,Pago Pago,Pacific/Pago_Pago
RUR,Rurutu,Pacific/Tahiti
TUB,Tubuai,Pacific/Tahiti
AAA,Anaa,Pacific/Tahiti
FGU,Fangatau,Pacific/Tahiti
TIH,Tikehau,Pacific/Tahiti
REA,Reao,Pacific/Tahiti
FAV,Fakarava,Pacific/Tahiti
XMH,Manihi,Pacific/Tahiti
GMR,Totegegie,Pacific/Gambier
KKR,Kaukura Atoll,Pacific/Tahiti
MKP,Makemo,Pacific/Tahiti
PKP,Puka Puka,Pacific/Tahiti
TKP,Takapoto,Pacific/Tahiti
AXR,Arutua,Pacific/Tahiti
MVT,Mataiva,Pacific/Tahiti
TKX,Takaroa,Pacific/Tahiti
NHV,Nuku Hiva,Pacific/Marquesas
BOB,Bora Bora,Pacific/Tahiti
RGI,Rangiroa,Pacific/Tahiti
HUH,Huahine Island,Pacific/Tahiti
MOZ,Moorea,Pacific/Tahiti
HOI,Hao Island,Pacific/Tahiti
MAU,Maupiti,Pacific/Tahiti
RFP,Raiatea Island,Pacific/Tahiti
VLI,Port-vila,Pacific/Efate
KNQ,Kone,Pacific/Noumea
KOC,Koumac,Pacific/Noumea
LIF,Lifou,Pacific/Noumea
GEA,Noumea,Pacific/Noumea
MEE,Mare,Pacific/Noumea
TOU,Touho,Pacific/Noumea
UVE,Ouvea,Pacific/Noumea
NOU,Noumea,Pacific/Noumea
AKL,Auckland,Pacific/Auckland
TUO,Taupo,Pacific/Auckland
AMZ,Ardmore,Pacific/Auckland
CHC,Christchurch,Pacific/Auckland
CHT,Chatham Island,Pacific/Chatham
DUD,Dunedin,Pacific/Auckland
GIS,Gisborne,Pacific/Auckland
GTN,Glentanner,Pacific/Auckland
HKK,Hokitika,Pacific/Auckland
HLZ,Hamilton,Pacific/Auckland
KKE,Kerikeri,Pacific/Auckland
KAT,Kaitaia,Pacific/Auckland
ALR,Alexandra,Pacific/Auckland
MON,Mount Cook,Pacific/Auckland
TEU,Manapouri,Pacific/Auckland
MRO,Masterton,Pacific/Auckland
NPL,New Plymouth,Pacific/Auckland
NSN,Nelson,Pacific/Auckland
IVC,Invercargill,Pacific/Auckland
OHA,Ohakea,Pacific/Auckland
OAM,Oamaru,Pacific/Auckland
PMR,Palmerston North,Pacific/Auckland
PPQ,Paraparaumu,Pacific/Auckland
ZQN,Queenstown International,Pacific/Auckland
ROT,Rotorua,Pacific/Auckland
TRG,Tauranga,Pacific/Auckland
TIU,Timaru,Pacific/Auckland
TWZ,Pukaki,Pacific/Auckland
BHE,Woodbourne,Pacific/Auckland
WKA,Wanaka,Pacific/Auckland
WHK,Whakatane,Pacific/Auckland
WLG,Wellington,Pacific/Auckland
WIR,Wairoa,Pacific/Auckland
WRE,Whangarei,Pacific/Auckland
WSZ,Westport,Pacific/Auckland
WAG,Wanganui,Pacific/Auckland
HEA,Herat,Asia/Kabul
JAA,Jalalabad,Asia/Kabul
KBL,Kabul,Asia/Kabul
KDH,Kandahar,Asia/Kabul
MMZ,Maimama,Asia/Kabul
MZR,Mazar-i-sharif,Asia/Kabul
OAH,Shindand,Asia/Kabul
UND,Kunduz,Asia/Kabul
BAH,Bahrain,Asia/Bahrain
AHB,Abha,Asia/Riyadh
HOF,Al-ahsa,Asia/Riyadh
ABT,El-baha,Asia/Riyadh
BHH,Bisha,Asia/Riyadh
DMM,Dammam,Asia/Riyadh
DHA,Dhahran,Asia/Riyadh
GIZ,Gizan,Asia/Riyadh
ELQ,Gassim,Asia/Riyadh
URY,Guriat,Asia/Riyadh
HAS,Hail,Asia/Riyadh
QJB,Jubail,Asia/Riyadh
JED,Jeddah,Asia/Riyadh
KMC,King Khalid Mil.city,Asia/Riyadh
MED,Madinah,Asia/Riyadh
EAM,Nejran,Asia/Riyadh
AQI,Hafr Al-batin,Asia/Riyadh
RAH,Rafha,Asia/Riyadh
RUH,Riyadh,Asia/Riyadh
RAE,Arar,Asia/Riyadh
SHW,Sharurah,Asia/Riyadh
SLF,Sulayel,Asia/Riyadh
TUU,Tabuk,Asia/Riyadh
TIF,Taif,Asia/Riyadh
TUI,Turaif,Asia/Riyadh
EJH,Wejh,Asia/Riyadh
YNB,Yenbo,Asia/Riyadh
ABD,Abadan,Asia/Tehran
DEF,Dezful,Asia/Tehran
AKW,Aghajari,Asia/Tehran
GCH,Gachsaran,Asia/Tehran
OMI,Omidyeh,Asia/Tehran
MRX,Bandar Mahshahr,Asia/Tehran
AWZ,Ahwaz,Asia/Tehran
AEU,Abumusa I.,Asia/Tehran
BUZ,Bushehr,Asia/Tehran
KIH,Kish Island,Asia/Tehran
BDH,Bandar Lengeh,Asia/Tehran
KHK,Khark Island,Asia/Tehran
SXI,Siri Island,Asia/Tehran
LVP,Lavan Island,Asia/Tehran
KSH,Bakhtaran,Asia/Tehran
SDG,Sanandaj,Asia/Tehran
IFH,Daran,Asia/Tehran
KKS,Kashan,Asia/Tehran
IFN,Esfahan,Asia/Tehran
RAS,Rasht,Asia/Tehran
AJK,Arak,Asia/Tehran
THR,Teheran,Asia/Tehran
GZW,Ghazvin,Asia/Tehran
BND,Bandar Abbas,Asia/Tehran
JYR,Jiroft,Asia/Tehran
KER,Kerman,Asia/Tehran
HDR,Bandar Abbas,Asia/Tehran
SYJ,Sirjan,Asia/Tehran
XBJ,Birjand,Asia/Tehran
CKT,Sarakhs,Asia/Tehran
RUD,Emam Shahr,Asia/Tehran
TCX,Tabas,Asia/Tehran
KLM,Kalaleh,Asia/Tehran
RZR,Ramsar,Asia/Tehran
FAZ,Fasa,Asia/Tehran
JAR,Jahrom,Asia/Tehran
LFM,Lamerd,Asia/Tehran
SYZ,Shiraz,Asia/Tehran
KHY,Khoy,Asia/Tehran
TBZ,Tabriz,Asia/Tehran
JWN,Zanjan,Asia/Tehran
AZD,Yazd,Asia/Tehran
ACZ,Zabol,Asia/Tehran
ZBR,Chah Bahar,Asia/Tehran
ZAH,Zahedan,Asia/Tehran
IHR,Iran Shahr,Asia/Tehran
AMM,Amman,Asia/Amman
ADJ,Amman,Asia/Amman
AQJ,Aqaba,Asia/Amman
OMF,Mafraq,Asia/Amman
KWI,Kuwait,Asia/Kuwait
BEY,Beirut,Asia/Beirut
KYE,Kleiat,Asia/Beirut
AUH,Abu Dhabi,Asia/Dubai
AZI,Abu Dhabi,Asia/Dubai
DHF,Abu Dhabi,Asia/Dubai
DXB,Dubai,Asia/Dubai
FJR,Fujeirah,Asia/Dubai
RKT,Ras Al Khaimah,Asia/Dubai
SHJ,Sharjah,Asia/Dubai
KHS,Khasab,Asia/Muscat
MSH,Masirah,Asia/Muscat
MCT,Muscat,Asia/Muscat
SLL,Salalah,Asia/Muscat
TTH,Thumrait,Asia/Muscat
BHW,Bhagtanwala,Asia/Karachi
LYP,Faisalabad,Asia/Karachi
GWD,Gwadar,Asia/Karachi
GIL,Gilgit,Asia/Karachi
JAG,Jacobsbad,Asia/Karachi
KHI,Karachi,Asia/Karachi
LHE,Lahore,Asia/Karachi
XJM,Mangla,Asia/Karachi
MFG,Muzaffarabad,Asia/Karachi
MWD,Mianwali,Asia/Karachi
MJD,Moenjodaro,Asia/Karachi
MUX,Multan,Asia/Karachi
WNS,Nawabshah,Asia/Karachi
PJG,Panjgur,Asia/Karachi
PSI,Pasni,Asia/Karachi
PEW,Peshawar,Asia/Karachi
UET,Quetta,Asia/Karachi
RYK,Rahim Yar Khan,Asia/Karachi
RAZ,Rawala Kot,Asia/Karachi
SKZ,Sukkur,Asia/Karachi
SDT,Saidu Sharif,Asia/Karachi
SUL,Sui,Asia/Karachi
BDN,Talhar,Asia/Karachi
WAF,Wana,Asia/Karachi
PZH,Zhob,Asia/Karachi
BSR,Basrah,Asia/Baghdad
ALP,Aleppo,Asia/Damascus
DAM,Damascus,Asia/Damascus
DEZ,Deire Zor,Asia/Damascus
LTK,Latakia,Asia/Damascus
PMS,Palmyra,Asia/Damascus
DIA,Doha,Asia/Qatar
CIS,Canton Island,Pacific/Kanton
ROP,Rota,Pacific/Saipan
SPN,Saipan,Pacific/Saipan
UAM,Andersen,Pacific/Guam
GUM,Agana,Pacific/Guam
TIQ,West Tinian,Pacific/Saipan
MAJ,Majuro,Pacific/Majuro
KWA,Kwajalein,Pacific/Kwajalein
CXI,Kiritimati,Pacific/Kiritimati
MDY,Midway,Pacific/Midway
TKK,Chuuk,Pacific/Chuuk
PNI,Pohnpei,Pacific/Pohnpei
ROR,Babelthuap,Pacific/Palau
KSA,Kosrae,Pacific/Kosrae
YAP,Yap,Pacific/Chuuk
KNH,Kinmen,Asia/Taipei
TTT,Fengnin,Asia/Taipei
GNI,Green Island,Asia/Taipei
KHH,Kaohsiung,Asia/Taipei
CYI,Chiayi,Asia/Taipei
KYD,Lanyu,Asia/Taipei
RMQ,Taichung,Asia/Taipei
TNN,Tainan,Asia/Taipei
HSZ,Hsinchu,Asia/Taipei
MZG,Makung,Asia/Taipei
PIF,Pingtung,Asia/Taipei
TSA,Taipei,Asia/Taipei
TPE,Taipei,Asia/Taipei
WOT,Wang An,Asia/Taipei
HUN,Hualien,Asia/Taipei
NRT,Tokyo,Asia/Tokyo
MMJ,Matsumoto,Asia/Tokyo
IBR,Ibaraki,Asia/Tokyo
MUS,Minami Tori Shima,Asia/Tokyo
IWO,Iwojima,Asia/Tokyo
SHM,Nanki-shirahama,Asia/Tokyo
OBO,Obihiro,Asia/Tokyo
CTS,Sapporo,Asia/Tokyo
HKD,Hakodate,Asia/Tokyo
MMB,Memanbetsu,Asia/Tokyo
SHB,Nakashibetsu,Asia/Tokyo
WKJ,Wakkanai,Asia/Tokyo
IKI,Iki,Asia/Tokyo
UBJ,Yamaguchi,Asia/Tokyo
TSJ,Tsushima,Asia/Tokyo
MBE,Monbetsu,Asia/Tokyo
AKJ,Asahikawa,Asia/Tokyo
OIR,Okushiri,Asia/Tokyo
RIS,Rishiri Island,Asia/Tokyo
KUM,Yakushima,Asia/Tokyo
FUJ,Fukue,Asia/Tokyo
FUK,Fukuoka,Asia/Tokyo
TNE,Tanegashima,Asia/Tokyo
KOJ,Kagoshima,Asia/Tokyo
KMI,Miyazaki,Asia/Tokyo
OIT,Oita,Asia/Tokyo
KKJ,Kitakyushu,Asia/Tokyo
KMJ,Kumamoto,Asia/Tokyo
NGS,Nagasaki,Asia/Tokyo
ASJ,Amami,Asia/Tokyo
OKE,Okierabu,Asia/Tokyo
TKN,Tokunoshima,Asia/Tokyo
FKJ,Fukui,Asia/Tokyo
QGU,Gifu,Asia/Tokyo
KMQ,Kanazawa,Asia/Tokyo
OKI,Oki Island,Asia/Tokyo
TOY,Toyama,Asia/Tokyo
HIJ,Hiroshima,Asia/Tokyo
OKJ,Okayama,Asia/Tokyo
IZO,Izumo,Asia/Tokyo
YGJ,Miho,Asia/Tokyo
KCZ,Kochi,Asia/Tokyo
MYJ,Matsuyama,Asia/Tokyo
ITM,Osaka,Asia/Tokyo
TTJ,Tottori,Asia/Tokyo
TKS,Tokushima,Asia/Tokyo
TAK,Takamatsu,Asia/Tokyo
AOJ,Aomori,Asia/Tokyo
GAJ,Yamagata,Asia/Tokyo
SDS,Sado,Asia/Tokyo
HHE,Hachinoe,Asia/Tokyo
HNA,Hanamaki,Asia/Tokyo
AXT,Akita,Asia/Tokyo
MSJ,Misawa,Asia/Tokyo
SDJ,Sendai,Asia/Tokyo
NJA,Atsugi,Asia/Tokyo
HAC,Hachijojima,Asia/Tokyo
OIM,Oshima,Asia/Tokyo
HND,Tokyo,Asia/Tokyo
OKO,Yokota,Asia/Tokyo
KWJ,Kwangju,Asia/Seoul
CHN,Jhunju,Asia/Seoul
RSU,Yeosu,Asia/Seoul
KAG,Kangnung,Asia/Seoul
CJU,Cheju,Asia/Seoul
CHF,Chinhae,Asia/Seoul
PUS,Busan,Asia/Seoul
USN,Ulsan,Asia/Seoul
SSN,Seoul East,Asia/Seoul
OSN,Osan,Asia/Seoul
GMP,Seoul,Asia/Seoul
SWU,Suwon,Asia/Seoul
KPO,Pohang,Asia/Seoul
TAE,Taegu,Asia/Seoul
YEC,Yechon,Asia/Seoul
OKA,Okinawa,Asia/Tokyo
DNA,Kadena,Asia/Tokyo
ISG,Ishigaki,Asia/Tokyo
UEO,Kumejima,Asia/Tokyo
MMD,Minami Daito,Asia/Tokyo
MMY,Miyako,Asia/Tokyo
KTD,Kitadaito,Asia/Tokyo
SHI,Shimojishima,Asia/Tokyo
TRA,Tarama,Asia/Tokyo
RNJ,Yoron,Asia/Tokyo
OGN,Yonaguni Jima,Asia/Tokyo
MNL,Manila,Asia/Manila
CBO,Cotabato,Asia/Manila
PAG,Pagadian,Asia/Manila
GES,Romblon,Asia/Manila
ZAM,Zamboanga,Asia/Manila
BAG,Baguio,Asia/Manila
DTE,Daet,Asia/Manila
SJI,San Jose,Asia/Manila
MBO,Mamburao,Asia/Manila
BQA,Baler,Asia/Manila
TAC,Tacloban,Asia/Manila
BCD,Bacolod,Asia/Manila
DGT,Dumaguete,Asia/Manila
MPH,Caticlan,Asia/Manila
ILO,Iloilo,Asia/Manila
KLO,Kalibo,Asia/Manila
PPS,Puerto Princesa,Asia/Manila
EUQ,San Jose,Asia/Manila
COC,Concordia,America/Argentina/Cordoba
GHU,Gualeguaychu,America/Argentina/Cordoba
JNI,Junin,America/Argentina/Buenos_Aires
PRA,Parana,America/Argentina/Cordoba
ROS,Rosario,America/Argentina/Cordoba
SFN,Santa Fe,America/Argentina/Cordoba
AEP,Buenos Aires,America/Argentina/Buenos_Aires
COR,Cordoba,America/Argentina/Cordoba
FDO,San Fernando,America/Argentina/Buenos_Aires
LPG,La Plata,America/Argentina/Buenos_Aires
EPA,El Palomar,America/Argentina/Buenos_Aires
HOS,Chosmadal,America/Argentina/Salta
GNR,Fuerte Gral Roca,America/Argentina/Salta
MDZ,Mendoza,America/Argentina/Mendoza
LGS,Malargue,America/Argentina/Mendoza
AFA,San Rafael,America/Argentina/Mendoza
CTC,Catamarca,America/Argentina/Catamarca
SDE,Santiago Del Estero,America/Argentina/Cordoba
IRJ,La Rioja,America/Argentina/La_Rioja
TUC,Tucuman,America/Argentina/Tucuman
UAQ,San Juan,America/Argentina/San_Juan
RCU,Rio Cuarto,America/Argentina/Cordoba
VDR,Villa Dolores,America/Argentina/Cordoba
VME,Villa Reynolds,America/Argentina/San_Luis
LUQ,San Luis,America/Argentina/San_Luis
CNQ,Corrientes,America/Argentina/Cordoba
RES,Resistencia,America/Argentina/Cordoba
FMA,Formosa,America/Argentina/Cordoba
IGR,Iguazu Falls,America/Argentina/Cordoba
AOL,Paso De Los Libres,America/Argentina/Cordoba
MCS,Monte Caseros,America/Argentina/Cordoba
PSS,Posadas,America/Argentina/Cordoba
PRQ,Presidencia R.s.pena,America/Argentina/Cordoba
SLA,Salta,America/Argentina/Salta
JUJ,Jujuy,America/Argentina/Jujuy
ORA,Oran,America/Argentina/Salta
ELO,El Dorado,America/Argentina/Cordoba
OYA,Goya,America/Argentina/Cordoba
RCQ,Reconquista,America/Argentina/Cordoba
UZU,Curuzu Cuatia,America/Argentina/Cordoba
EHL,El Bolson,America/Argentina/Salta
CRD,Comodoro Rivadavia,America/Argentina/Catamarca
EQS,Esquel,America/Argentina/Catamarca
REL,Trelew,America/Argentina/Catamarca
VDM,Viedma,America/Argentina/Salta
PMY,Puerto Madryn,America/Argentina/Catamarca
PUD,Puerto Deseado,America/Argentina/Rio_Gallegos
RGA,Rio Grande,America/Argentina/Ushuaia
RGL,Rio Gallegos,America/Argentina/Rio_Gallegos
USH,Ushuaia,America/Argentina/Ushuaia
ULA,San Julian,America/Argentina/Rio_Gallegos
PMQ,Perito Moreno,America/Argentina/Rio_Gallegos
RZA,Santa Cruz,America/Argentina/Rio_Gallegos
BHI,Bahia Blanca,America/Argentina/Buenos_Aires
CSZ,Colonel Suarez,America/Argentina/Buenos_Aires
OVR,Olavarria,America/Argentina/Buenos_Aires
GPO,General Pico,America/Argentina/Salta
OYO,Tres Arroyos,America/Argentina/Buenos_Aires
MDQ,Mar Del Plata,America/Argentina/Buenos_Aires
NQN,Neuquen,America/Argentina/Salta
PEH,Pehuajo,America/Argentina/Buenos_Aires
RSA,Santa Rosa,America/Argentina/Salta
BRC,San Carlos De Bariloche,America/Argentina/Salta
TDL,Tandil,America/Argentina/Buenos_Aires
VLG,Villa Gesell,America/Argentina/Buenos_Aires
CUT,Cutralco,America/Argentina/Salta
CPC,San Martin Des Andes,America/Argentina/Salta
CDJ,Conceicao Do Araguaia,America/Belem
AQA,Araracuara,America/Sao_Paulo
AJU,Aracaju,America/Maceio
AFL,Alta Floresta,America/Cuiaba
ARU,Aracatuba,America/Sao_Paulo
BEL,Belem,America/Belem
BGX,Bage,America/Sao_Paulo
PLU,Belo Horizonte,America/Sao_Paulo
BFH,Curitiba,America/Sao_Paulo
BSB,Brasilia,America/Sao_Paulo
BAU,Bauru,America/Sao_Paulo
BVB,Boa Vista,America/Boa_Vista
BPG,Barra Do Garcas,America/Cuiaba
CAC,Cascavel,America/Sao_Paulo
CNF,Belo Horizonte,America/Sao_Paulo
CGR,Campo Grande,America/Campo_Grande
XAP,Chapeco,America/Sao_Paulo
CLN,Carolina,America/Fortaleza
CCM,Criciuma,America/Sao_Paulo
CAW,Campos,America/Sao_Paulo
CMG,Corumba,America/Campo_Grande
CWB,Curitiba,America/Sao_Paulo
CRQ,Caravelas,America/Bahia
CXJ,Caxias Do Sul,America/Sao_Paulo
CGB,Cuiaba,America/Cuiaba
CZS,Cruzeiro do Sul,America/Rio_Branco
PPB,President Prudente,America/Sao_Paulo
MAO,Manaus,America/Manaus
JCR,Jacare-acanga,America/Santarem
IGU,Foz Do Iguacu,America/Sao_Paulo
FLN,Florianopolis,America/Sao_Paulo
FEN,Fernando Do Noronha,America/Noronha
FOR,Fortaleza,America/Fortaleza
GIG,Rio De Janeiro,America/Sao_Paulo
GJM,Guajara-mirim,America/Porto_Velho
GYN,Goiania,America/Sao_Paulo
GRU,Sao Paulo,America/Sao_Paulo
GUJ,Guaratingueta,America/Sao_Paulo
ATM,Altamira,America/Santarem
ITA,Itaituba,America/Manaus
ITB,Itaituba,America/Santarem
IOS,Ilheus,America/Bahia
IPN,Ipatinga,America/Sao_Paulo
ITR,Itumbiara,America/Sao_Paulo
IMP,Imperatriz,America/Fortaleza
JDF,Juiz De Fora,America/Sao_Paulo
JPA,Joao Pessoa,America/Fortaleza
JOI,Joinville,America/Sao_Paulo
CPV,Campina Grande,America/Fortaleza
VCP,Campinas,America/Sao_Paulo
LAJ,Lajes,America/Sao_Paulo
LIP,Lins,America/Sao_Paulo
LDB,Londrina,America/Sao_Paulo
LAZ,Bom Jesus Da Lapa,America/Bahia
MAB,Maraba,America/Belem
MEU,Almeirim,America/Santarem
MGF,Maringa,America/Sao_Paulo
MOC,Montes Claros,America/Sao_Paulo
PLL,Manaus,America/Manaus
MCZ,Maceio,America/Maceio
MCP,Macapa,America/Belem
MVF,Mocord,America/Fortaleza
MNX,Manicore,America/Manaus
NVT,Navegantes,America/Sao_Paulo
GEL,Santo Angelo,America/Sao_Paulo
NAT,Natal,America/Fortaleza
OYK,Oioiapoque,America/Belem
POA,Porto Alegre,America/Sao_Paulo
PHB,Parnaiba,America/Fortaleza
POO,Pocos De Caldas,America/Sao_Paulo
PFB,Passo Fundo,America/Sao_Paulo
PET,Pelotas,America/Sao_Paulo
PNZ,Petrolina,America/Recife
PNB,Porto Nacional,America/Araguaina
PMG,Ponta Pora,America/Campo_Grande
PVH,Porto Velho,America/Porto_Velho
RBR,Rio Branco,America/Rio_Branco
REC,Recife,America/Recife
SDU,Rio De Janeiro,America/Sao_Paulo
RAO,Ribeirao Preto,America/Sao_Paulo
SNZ,Rio De Janeiro,America/Sao_Paulo
SJK,Sao Jose Dos Campos,America/Sao_Paulo
SLZ,Sao Luis,America/Fortaleza
CGH,Sao Paulo,America/Sao_Paulo
SJP,Sao Jose Do Rio Preto,America/Sao_Paulo
SSZ,Santos,America/Sao_Paulo
SSA,Salvador,America/Bahia
TMT,Oriximina,America/Santarem
THE,Teresina,America/Fortaleza
TFF,Tefe,America/Manaus
TRQ,Tarauaca,America/Rio_Branco
TEC,Telemaco Borba,America/Sao_Paulo
TBT,Tabatinga,America/Manaus
TUR,Tucurui,America/Belem
SJL,Sao Gabriel,America/Manaus
PAV,Paulo Alfonso,America/Bahia
URG,Uruguaiana,America/Sao_Paulo
UDI,Uberlandia,America/Sao_Paulo
UBA,Uberaba,America/Sao_Paulo
VAG,Varginha,America/Sao_Paulo
BVH,Vilhena,America/Porto_Velho
VIX,Vitoria,America/Sao_Paulo
QPS,Piracununga,America/Sao_Paulo
ARI,Arica,America/Santiago
BBA,Balmaceda,America/Coyhaique
CCH,Chile Chico,America/Coyhaique
CJC,Calama,America/Santiago
YAI,Chillan,America/Santiago
PUQ,Punta Arenas,America/Punta_Arenas
GXQ,Coyhaique,America/Coyhaique
IQQ,Iquique,America/Santiago
SCL,Santiago,America/Santiago
ANF,Antofagasta,America/Santiago
WPR,Porvenir,America/Punta_Arenas
FFU,Futaleufu,America/Santiago
LSQ,Los Angeles,America/Santiago
WPU,Puerto Williams,America/Punta_Arenas
CCP,Concepcion,America/Santiago
IPC,Easter Island,Pacific/Easter
ZOS,Osorno,America/Santiago
VLR,Vallenar,America/Santiago
QRC,Rancagua,America/Santiago
TNM,Isla Rey Jorge,America/Punta_Arenas
LSC,La Serena,America/Santiago
PZS,Temuco,America/Santiago
PMC,Puerto Montt,America/Santiago
WCH,Chaiten,America/Santiago
ZAL,Valdivia,America/Santiago
ATF,Ambato,America/Guayaquil
OCC,Coca,America/Guayaquil
CUE,Cuenca,America/Guayaquil
GPS,Galapagos,Pacific/Galapagos
GYE,Guayaquil,America/Guayaquil
LTX,Latacunga,America/Guayaquil
MRR,Macara,America/Guayaquil
XMS,Macas,America/Guayaquil
MCH,Machala,America/Guayaquil
MEC,Manta,America/Guayaquil
PVO,Portoviejo,America/Guayaquil
UIO,Quito,America/Guayaquil
ETR,Santa Rosa,America/Guayaquil
SNC,Salinas,America/Guayaquil
TPC,Tarapoa,America/Guayaquil
TUA,Tulcan,America/Guayaquil
ASU,Asuncion,America/Asuncion
AYO,Ayolas,America/Asuncion
CIO,Conception,America/Asuncion
ESG,Mariscal Estigarribia,America/Asuncion
PIL,Pilar,America/Asuncion
AXM,Armenia,America/Bogota
PUU,Puerto Asis,America/Bogota
ELB,El Banco,America/Bogota
BGA,Bucaramanga,America/Bogota
BOG,Bogota,America/Bogota
BAQ,Barranquilla,America/Bogota
BSC,Bahia Solano,America/Bogota
BUN,Buenaventura,America/Bogota
CUC,Cucuta,America/Bogota
CTG,Cartagena,America/Bogota
CLO,Cali,America/Bogota
TCO,Tumaco,America/Bogota
CZU,Corozal,America/Bogota
EJA,Barrancabermeja,America/Bogota
FLA,Florencia,America/Bogota
GIR,Girardot,America/Bogota
GPI,Guapi,America/Bogota
IBE,Ibague,America/Bogota
IPI,Ipiales,America/Bogota
APO,Carepa,America/Bogota
MCJ,La Mina,America/Bogota
LET,Leticia,America/Bogota
EOH,Medellin,America/Bogota
MGN,Magangue,America/Bogota
MTR,Monteria,America/Bogota
MVP,Mitu,America/Bogota
MZL,Manizales,America/Bogota
NVA,Neiva,America/Bogota
OCV,Ocana,America/Bogota
OTU,Otu,America/Bogota
PCR,Puerto Carreno,America/Bogota
PEI,Pereira,America/Bogota
PTX,Pitalito,America/Bogota
PPN,Popayan,America/Bogota
PSO,Pasto,America/Bogota
PVA,Providencia,America/Bogota
MQU,Mariquita,America/Bogota
MDE,Rio Negro,America/Bogota
RCH,Rio Hacha,America/Bogota
SJE,San Jose Del Guaviare,America/Bogota
SMR,Santa Marta,America/Bogota
ADZ,San Andres Island,America/Bogota
SVI,San Vincente De Caguan,America/Bogota
TME,Tame,America/Bogota
AUC,Arauca,America/Bogota
UIB,Quibdo,America/Bogota
ULQ,Tulua,America/Bogota
VUP,Valledupar,America/Bogota
VVC,Villavicencio,America/Bogota
BJO,Bermejo,America/La_Paz
CBB,Cochabamba,America/La_Paz
CCA,Chapacura,America/La_Paz
CIJ,Cobija,America/La_Paz
LPB,La Paz,America/La_Paz
ORU,Oruro,America/La_Paz
POI,Potosi,America/La_Paz
PSZ,Puerto Suarez,America/La_Paz
SBL,Santa Ana,America/La_Paz
SRE,Sucre,America/La_Paz
TJA,Tarija,America/La_Paz
TDD,Trinidad,America/La_Paz
VLM,Villa Montes,America/La_Paz
VVI,Santa Cruz,America/La_Paz
BYC,Yacuiba,America/La_Paz
PBM,Zandery,America/Paramaribo
CAY,Cayenne,America/Cayenne
OYP,St.-georges Oyapock,America/Cayenne
AOP,Andoas,America/Lima
IBP,Iberia,America/Lima
PCL,Pucallpa,America/Lima
CHM,Chimbote,America/Lima
CIX,Chiclayo,America/Lima
AYP,Ayacucho,America/Lima
ANS,Andahuaylas,America/Lima
ATA,Anta,America/Lima
LIM,Lima,America/Lima
JJI,Juanjui,America/Lima
JAU,Jauja,America/Lima
JUL,Juliaca,America/Lima
ILQ,Ilo,America/Lima
TBP,Tumbes,America/Lima
YMS,Yurimaguas,America/Lima
CHH,Chachapoyas,America/Lima
IQT,Iquitos,America/Lima
AQP,Arequipa,America/Lima
TRU,Trujillo,America/Lima
PIO,Pisco,America/Lima
TPP,Tarapoto,America/Lima
TCQ,Tacna,America/Lima
PEM,Puerto Maldonado,America/Lima
PIU,Piura,America/Lima
TYL,Talara,America/Lima
CUZ,Cuzco,America/Lima
DZO,Durazno,America/Montevideo
MVD,Montevideo,America/Montevideo
STY,Salto,America/Montevideo
AGV,Acarigua,America/Caracas
AAO,Anaco,America/Caracas
BLA,Barcelona,America/Caracas
BNS,Barinas,America/Caracas
BRM,Barquisimeto,America/Caracas
CBL,Ciudad Bolivar,America/Caracas
CXA,Caicara De Orinoco,America/Caracas
CLZ,Calabozo,America/Caracas
CAJ,Canaima,America/Caracas
VCR,Carora,America/Caracas
CUP,Carupano,America/Caracas
CZE,Coro,America/Caracas
CUM,Cumana,America/Caracas
EOR,El Dorado,America/Caracas
EOZ,Elorza,America/Caracas
GDO,Guasdualito,America/Caracas
GUI,Guiria,America/Caracas
GUQ,Guanare,America/Caracas
HGE,Higuerote,America/Caracas
ICC,Isla De Coche,America/Caracas
LSP,Paraguana,America/Caracas
LFR,La Fria,America/Caracas
MAR,Maracaibo,America/Caracas
MRD,Merida,America/Caracas
PMV,Porlamar,America/Caracas
