IATA,City,Timezone
GHA,Ghardaia,Africa/Algiers
HME,Hassi Messaoud,Africa/Algiers
INZ,In Salah,Africa/Algiers
TGR,Touggourt,Africa/Algiers
LOO,Laghouat,Africa/Algiers
TMX,Timimoun,Africa/Algiers
OGX,Ouargla,Africa/Algiers
IAM,Zarzaitine,Africa/Algiers
COO,Cotonou,Africa/Porto-Novo
OUA,Ouagadougou,Africa/Ouagadougou
BOY,Bobo-dioulasso,Africa/Ouagadougou
ACC,Accra,Africa/Accra
TML,Tamale,Africa/Accra
NYI,Sunyani,Africa/Accra
TKD,Takoradi,Africa/Accra
ABJ,Abidjan,Africa/Abidjan
BYK,Bouake,Africa/Abidjan
DJO,Daloa,Africa/Abidjan
HGO,Korhogo,Africa/Abidjan
MJC,Man,Africa/Abidjan
SPY,San Pedro,Africa/Abidjan
ASK,Yamoussoukro,Africa/Abidjan
ABV,Abuja,Africa/Lagos
AKR,Akure,Africa/Lagos
BNI,Benin,Africa/Lagos
CBQ,Calabar,Africa/Lagos
ENU,Enugu,Africa/Lagos
IBA,Ibadan,Africa/Lagos
ILR,Ilorin,Africa/Lagos
JOS,Jos,Africa/Lagos
KAD,Kaduna,Africa/Lagos
KAN,Kano,Africa/Lagos
MIU,Maiduguri,Africa/Lagos
MDI,Makurdi,Africa/Lagos
LOS,Lagos,Africa/Lagos
MXJ,Minna,Africa/Lagos
PHC,Port Hartcourt,Africa/Lagos
SKO,Sokoto,Africa/Lagos
YOL,Yola,Africa/Lagos
ZAR,Zaria,Africa/Lagos
MFQ,Maradi,Africa/Niamey
NIM,Niamey,Africa/Niamey
THZ,Tahoua,Africa/Niamey
AJY,Agadez,Africa/Niamey
ZND,Zinder,Africa/Niamey
MIR,Monastir,Africa/Tunis
TUN,Tunis,Africa/Tunis
GAF,Gafsa,Africa/Tunis
GAE,Gabes,Africa/Tunis
DJE,Djerba,Africa/Tunis
EBM,El Borma,Africa/Tunis
SFA,Sfax,Africa/Tunis
TOE,Tozeur,Africa/Tunis
LRL,Niatougou,Africa/Lome
LFW,Lome,Africa/Lome
ANR,Antwerp,Europe/Brussels
BRU,Brussels,Europe/Brussels
CRL,Charleroi,Europe/Brussels
KJK,Kortrijk-vevelgem,Europe/Brussels
LGG,Liege,Europe/Brussels
OST,Ostend,Europe/Brussels
OBL,Zoersel,Europe/Brussels
AOC,Altenburg,Europe/Berlin
IES,Riesa,Europe/Berlin
REB,Rechlin-laerz,Europe/Berlin
QXH,Schoenhagen,Europe/Berlin
BBH,Barth,Europe/Berlin
